ORI,year,City,total_pop,crime_type_rate,incidents_per_100k_population,incidents_for_total_population
NB02802,1981,"Omaha, Neb.",322883,violent_per_100k,490.27,1583
FL04804,1981,"Orlando, Fla.",135812,violent_per_100k,1747.268,2373
PAPEP00,1981,Philadelphia,1686834,violent_per_100k,1044.323,17616
AZ00723,1981,Phoenix,794983,violent_per_100k,794.86,6319
PAPPD00,1981,Pittsburgh,425632,violent_per_100k,1405.674,5983
OR02602,1981,"Portland, Ore.",369518,violent_per_100k,1746.058,6452
NC09201,1981,"Raleigh, N.C.",151155,violent_per_100k,475.671,719
CA03404,1981,"Sacramento, Calif.",281854,violent_per_100k,1254.195,3535
UT01803,1981,Salt Lake City,169383,violent_per_100k,748.599,1268
TXSPD00,1981,San Antonio,820591,violent_per_100k,566.787,4651
CA03711,1981,San Diego,898109,violent_per_100k,734.209,6594
CA03801,1981,San Francisco,692092,violent_per_100k,1735.463,12011
CA04313,1981,San Jose,644823,violent_per_100k,639.245,4122
WASPD00,1981,Seattle,503697,violent_per_100k,1074.853,5414
MOSPD00,1981,"St. Louis, Mo.",454166,violent_per_100k,2281.985,10364
FL02902,1981,"Tampa, Fla.",285530,violent_per_100k,1987.182,5674
AZ01003,1981,"Tucson, Ariz.",340985,violent_per_100k,824.083,2810
OK07205,1981,"Tulsa, Okla.",367234,violent_per_100k,729.235,2678
VA12800,1981,"Virginia Beach, Va.",265704,violent_per_100k,228.073,606
DCMPD00,1981,"Washington, D.C.",636e3,violent_per_100k,2274.843,14468
KS08703,1981,"Wichita, Kan.",282465,violent_per_100k,612.111,1729
NM00101,1982,"Albuquerque, N.M.",344962,violent_per_100k,770.81,2659
TX22001,1982,"Arlington, Texas",173821,violent_per_100k,349.21,607
GAAPD00,1982,Atlanta,441103,violent_per_100k,2377.223,10486
CO00101,1982,"Aurora, Colo.",167408,violent_per_100k,839.864,1406
TX22701,1982,"Austin, Texas",370331,violent_per_100k,413.684,1532
MDBPD00,1982,Baltimore,798175,violent_per_100k,2090.143,16683
MA01301,1982,Boston,567758,violent_per_100k,1932.161,10970
NY01401,1982,"Buffalo, N.Y.",360493,violent_per_100k,986.704,3557
NC06001,1982,"Charlotte-Mecklenburg, N.C.",320119,violent_per_100k,1280.774,4100
ILCPD00,1982,Chicago,3010862,violent_per_100k,876.958,26404
OHCIP00,1982,Cincinnati,383975,violent_per_100k,978.449,3757
OHCLP00,1982,Cleveland,573944,violent_per_100k,1635.351,9386
OHCOP00,1982,"Columbus, Ohio",563680,violent_per_100k,814.292,4590
TXDPD00,1982,Dallas,970624,violent_per_100k,1344.805,13053
CODPD00,1982,Denver,517638,violent_per_100k,953.369,4935
MI82349,1982,Detroit,1181868,violent_per_100k,2009.192,23746
TX07102,1982,"El Paso, Texas",458429,violent_per_100k,855.531,3922
TX22012,1982,"Fort Worth, Texas",412661,violent_per_100k,1187.658,4901
CA01005,1982,"Fresno, Calif.",226300,violent_per_100k,964.207,2182
HI00200,1982,Honolulu,785181,violent_per_100k,273.95,2151
TXHPD00,1982,Houston,1679607,violent_per_100k,1059.831,17801
INIPD00,1982,Indianapolis,462657,violent_per_100k,938.276,4341
FL01602,1982,"Jacksonville, Fla.",590957,violent_per_100k,954.892,5643
MOKPD00,1982,"Kansas City, Mo.",451397,violent_per_100k,1490.706,6729
NV00201,1982,Las Vegas,424252,violent_per_100k,1053.619,4470
CA01941,1982,"Long Beach, Calif.",374974,violent_per_100k,1199.55,4498
CA01942,1982,Los Angeles,3101979,violent_per_100k,1739.438,53957
TNMPD00,1982,"Memphis, Tenn.",659913,violent_per_100k,1153.031,7609
AZ00717,1982,"Mesa, Ariz.",157634,violent_per_100k,447.239,705
FL01306,1982,Miami,365506,violent_per_100k,2725.81,9963
WIMPD00,1982,Milwaukee,645231,violent_per_100k,556.855,3593
MN02711,1982,Minneapolis,376704,violent_per_100k,1127.41,4247
TN01901,1982,"Nashville, Tenn.",462507,violent_per_100k,702.26,3248
LANPD00,1982,New Orleans,579338,violent_per_100k,1485.143,8604
NY03030,1982,New York City,7096559,violent_per_100k,2028.349,143943
NJNPD00,1982,"Newark, N.J.",334414,violent_per_100k,3200.823,10704
CA00109,1982,"Oakland, Calif.",355868,violent_per_100k,1857.149,6609
OK05506,1982,Oklahoma City,425093,violent_per_100k,1008.25,4286
NB02802,1982,"Omaha, Neb.",324936,violent_per_100k,753.995,2450
FL04804,1982,"Orlando, Fla.",139152,violent_per_100k,1913.016,2662
PAPEP00,1982,Philadelphia,1687556,violent_per_100k,1037.654,17511
AZ00723,1982,Phoenix,814054,violent_per_100k,667.155,5431
PAPPD00,1982,Pittsburgh,425814,violent_per_100k,1266.046,5391
OR02602,1982,"Portland, Ore.",369796,violent_per_100k,1753.399,6484
NC09201,1982,"Raleigh, N.C.",152882,violent_per_100k,579.532,886
CA03404,1982,"Sacramento, Calif.",288446,violent_per_100k,1035.896,2988
UT01803,1982,Salt Lake City,173630,violent_per_100k,736.624,1279
TXSPD00,1982,San Antonio,849791,violent_per_100k,694.877,5905
CA03711,1982,San Diego,919113,violent_per_100k,634.851,5835
CA03801,1982,San Francisco,708278,violent_per_100k,1639.893,11615
CA04313,1982,San Jose,659903,violent_per_100k,547.959,3616
WASPD00,1982,Seattle,507643,violent_per_100k,1008.583,5120
MOSPD00,1982,"St. Louis, Mo.",455362,violent_per_100k,2211.208,10069
FL02902,1982,"Tampa, Fla.",292551,violent_per_100k,1960.684,5736
AZ01003,1982,"Tucson, Ariz.",349165,violent_per_100k,837.713,2925
OK07205,1982,"Tulsa, Okla.",376599,violent_per_100k,718.005,2704
VA12800,1982,"Virginia Beach, Va.",268887,violent_per_100k,240.25,646
DCMPD00,1982,"Washington, D.C.",631e3,violent_per_100k,2123.138,13397
KS08703,1982,"Wichita, Kan.",285665,violent_per_100k,593.352,1695
NM00101,1983,"Albuquerque, N.M.",355163,violent_per_100k,831.731,2954
TX22001,1983,"Arlington, Texas",178871,violent_per_100k,327.051,585
GAAPD00,1983,Atlanta,448635,violent_per_100k,2078.75,9326
CO00101,1983,"Aurora, Colo.",172575,violent_per_100k,988.556,1706
TX22701,1983,"Austin, Texas",381091,violent_per_100k,402.529,1534
MDBPD00,1983,Baltimore,805527,violent_per_100k,2002.664,16132
MA01301,1983,Boston,566551,violent_per_100k,2005.998,11365
NY01401,1983,"Buffalo, N.Y.",360656,violent_per_100k,914.168,3297
NC06001,1983,"Charlotte-Mecklenburg, N.C.",323704,violent_per_100k,1318.18,4267
ILCPD00,1983,Chicago,3021203,violent_per_100k,1316.562,39776
OHCIP00,1983,Cincinnati,382373,violent_per_100k,873.231,3339
OHCLP00,1983,Cleveland,571827,violent_per_100k,1363.699,7798
OHCOP00,1983,"Columbus, Ohio",561328,violent_per_100k,747.691,4197
TXDPD00,1983,Dallas,998827,violent_per_100k,1149.148,11478
CODPD00,1983,Denver,533732,violent_per_100k,820.449,4379
MI82349,1983,Detroit,1176968,violent_per_100k,2168.878,25527
TX07102,1983,"El Paso, Texas",471749,violent_per_100k,906.202,4275
TX22012,1983,"Fort Worth, Texas",424651,violent_per_100k,1201.928,5104
CA01005,1983,"Fresno, Calif.",230418,violent_per_100k,830.23,1913
HI00200,1983,Honolulu,808092,violent_per_100k,264.326,2136
TXHPD00,1983,Houston,1728783,violent_per_100k,920.821,15919
INIPD00,1983,Indianapolis,463455,violent_per_100k,893.075,4139
FL01602,1983,"Jacksonville, Fla.",605934,violent_per_100k,935.745,5670
MOKPD00,1983,"Kansas City, Mo.",453128,violent_per_100k,1644.568,7452
NV00201,1983,Las Vegas,429080,violent_per_100k,830.614,3564
CA01941,1983,"Long Beach, Calif.",381798,violent_per_100k,1225.517,4679
CA01942,1983,Los Angeles,3158688,violent_per_100k,1691.683,53435
TNMPD00,1983,"Memphis, Tenn.",664883,violent_per_100k,1137.644,7564
AZ00717,1983,"Mesa, Ariz.",163310,violent_per_100k,488.641,798
FL01306,1983,Miami,374769,violent_per_100k,2610.675,9784
WIMPD00,1983,Milwaukee,643473,violent_per_100k,578.113,3720
MN02711,1983,Minneapolis,377850,violent_per_100k,922.853,3487
TN01901,1983,"Nashville, Tenn.",465887,violent_per_100k,705.965,3289
LANPD00,1983,New Orleans,589508,violent_per_100k,1365.206,8048
NY03030,1983,New York City,7100063,violent_per_100k,1868.336,132653
NJNPD00,1983,"Newark, N.J.",336016,violent_per_100k,2775.761,9327
CA00109,1983,"Oakland, Calif.",362344,violent_per_100k,1870.322,6777
OK05506,1983,Oklahoma City,441281,violent_per_100k,1061.682,4685
NB02802,1983,"Omaha, Neb.",327276,violent_per_100k,730.27,2390
FL04804,1983,"Orlando, Fla.",142678,violent_per_100k,1552.447,2215
PAPEP00,1983,Philadelphia,1692364,violent_per_100k,1002.917,16973
AZ00723,1983,Phoenix,843415,violent_per_100k,624.841,5270
PAPPD00,1983,Pittsburgh,426890,violent_per_100k,1312.985,5605
OR02602,1983,"Portland, Ore.",371706,violent_per_100k,1850.656,6879
NC09201,1983,"Raleigh, N.C.",154482,violent_per_100k,568.998,879
CA03404,1983,"Sacramento, Calif.",293695,violent_per_100k,1048.707,3080
UT01803,1983,Salt Lake City,180892,violent_per_100k,642.925,1163
TXSPD00,1983,San Antonio,874483,violent_per_100k,609.16,5327
CA03711,1983,San Diego,935840,violent_per_100k,582.471,5451
CA03801,1983,San Francisco,721168,violent_per_100k,1402.863,10117
CA04313,1983,San Jose,671913,violent_per_100k,514.948,3460
WASPD00,1983,Seattle,514319,violent_per_100k,936.773,4818
MOSPD00,1983,"St. Louis, Mo.",457262,violent_per_100k,1850.361,8461
FL02902,1983,"Tampa, Fla.",299965,violent_per_100k,1684.53,5053
AZ01003,1983,"Tucson, Ariz.",361739,violent_per_100k,767.404,2776
OK07205,1983,"Tulsa, Okla.",391101,violent_per_100k,614.675,2404
VA12800,1983,"Virginia Beach, Va.",271775,violent_per_100k,215.987,587
DCMPD00,1983,"Washington, D.C.",623e3,violent_per_100k,1915.409,11933
KS08703,1983,"Wichita, Kan.",287807,violent_per_100k,481.225,1385
NM00101,1984,"Albuquerque, N.M.",356366,violent_per_100k,1014.407,3615
TX22001,1984,"Arlington, Texas",191475,violent_per_100k,399.53,765
GAAPD00,1984,Atlanta,442951,violent_per_100k,2376.109,10525
CO00101,1984,"Aurora, Colo.",191159,violent_per_100k,953.133,1822
TX22701,1984,"Austin, Texas",385237,violent_per_100k,427.789,1648
MDBPD00,1984,Baltimore,788604,violent_per_100k,1975.77,15581
MA01301,1984,Boston,565192,violent_per_100k,1867.861,10557
NY01401,1984,"Buffalo, N.Y.",352015,violent_per_100k,942.005,3316
NC06001,1984,"Charlotte-Mecklenburg, N.C.",331992,violent_per_100k,1334.671,4431
ILCPD00,1984,Chicago,3012524,violent_per_100k,2010.905,60579
OHCIP00,1984,Cincinnati,378800,violent_per_100k,909.979,3447
OHCLP00,1984,Cleveland,556931,violent_per_100k,1316.501,7332
OHCOP00,1984,"Columbus, Ohio",568609,violent_per_100k,765.377,4352
TXDPD00,1984,Dallas,987696,violent_per_100k,1226.086,12110
CODPD00,1984,Denver,524171,violent_per_100k,782.187,4100
MI82349,1984,Detroit,1133647,violent_per_100k,2343.498,26567
TX07102,1984,"El Paso, Texas",465748,violent_per_100k,800.862,3730
TX22012,1984,"Fort Worth, Texas",420050,violent_per_100k,1297.941,5452
CA01005,1984,"Fresno, Calif.",254649,violent_per_100k,783.039,1994
HI00200,1984,Honolulu,810772,violent_per_100k,240.512,1950
TXHPD00,1984,Houston,1805783,violent_per_100k,839.248,15155
INIPD00,1984,Indianapolis,471622,violent_per_100k,925.741,4366
FL01602,1984,"Jacksonville, Fla.",582421,violent_per_100k,1069.33,6228
MOKPD00,1984,"Kansas City, Mo.",450489,violent_per_100k,1590.938,7167
NV00201,1984,Las Vegas,438264,violent_per_100k,755.024,3309
CA01941,1984,"Long Beach, Calif.",386421,violent_per_100k,1098.025,4243
CA01942,1984,Los Angeles,3144256,violent_per_100k,1636.063,51442
TNMPD00,1984,"Memphis, Tenn.",654666,violent_per_100k,1398.881,9158
AZ00717,1984,"Mesa, Ariz.",181287,violent_per_100k,480.454,871
FL01306,1984,Miami,400646,violent_per_100k,2727.595,10928
WIMPD00,1984,Milwaukee,632458,violent_per_100k,546.439,3456
MN02711,1984,Minneapolis,370866,violent_per_100k,1047.009,3883
TN01901,1984,"Nashville, Tenn.",475744,violent_per_100k,652.452,3104
LANPD00,1984,New Orleans,576071,violent_per_100k,1507.974,8687
NY03030,1984,New York City,7167121,violent_per_100k,1845.818,132292
NJNPD00,1984,"Newark, N.J.",324961,violent_per_100k,2640.317,8580
CA00109,1984,"Oakland, Calif.",358566,violent_per_100k,1781.541,6388
OK05506,1984,Oklahoma City,439249,violent_per_100k,969.609,4259
NB02802,1984,"Omaha, Neb.",357790,violent_per_100k,673.579,2410
FL04804,1984,"Orlando, Fla.",140541,violent_per_100k,1698.437,2387
PAPEP00,1984,Philadelphia,1667545,violent_per_100k,935.447,15599
AZ00723,1984,Phoenix,870279,violent_per_100k,732.179,6372
PAPPD00,1984,Pittsburgh,415475,violent_per_100k,1098.502,4564
OR02602,1984,"Portland, Ore.",367055,violent_per_100k,2018.226,7408
NC09201,1984,"Raleigh, N.C.",158028,violent_per_100k,599.261,947
CA03404,1984,"Sacramento, Calif.",300248,violent_per_100k,1083.105,3252
UT01803,1984,Salt Lake City,173136,violent_per_100k,628.408,1088
TXSPD00,1984,San Antonio,857070,violent_per_100k,628.653,5388
CA03711,1984,San Diego,952933,violent_per_100k,622.394,5931
CA03801,1984,San Francisco,719559,violent_per_100k,1302.464,9372
CA04313,1984,San Jose,685792,violent_per_100k,480.466,3295
WASPD00,1984,Seattle,497598,violent_per_100k,1115.961,5553
MOSPD00,1984,"St. Louis, Mo.",442528,violent_per_100k,1746.556,7729
FL02902,1984,"Tampa, Fla.",289355,violent_per_100k,2022.429,5852
AZ01003,1984,"Tucson, Ariz.",372146,violent_per_100k,795.118,2959
OK07205,1984,"Tulsa, Okla.",385394,violent_per_100k,679.564,2619
VA12800,1984,"Virginia Beach, Va.",290678,violent_per_100k,212.606,618
DCMPD00,1984,"Washington, D.C.",623e3,violent_per_100k,1721.509,10725
KS08703,1984,"Wichita, Kan.",291555,violent_per_100k,455.489,1328
NM00101,1985,"Albuquerque, N.M.",357051,violent_per_100k,1149.696,4105
TX22001,1985,"Arlington, Texas",218931,violent_per_100k,507.009,1110
GAAPD00,1985,Atlanta,436214,violent_per_100k,2661.538,11610
CO00101,1985,"Aurora, Colo.",198033,violent_per_100k,1136.174,2250
TX22701,1985,"Austin, Texas",406469,violent_per_100k,581.348,2363
MDBPD00,1985,Baltimore,771097,violent_per_100k,2009.864,15498
MA01301,1985,Boston,573131,violent_per_100k,2074.046,11887
NY01401,1985,"Buffalo, N.Y.",339890,violent_per_100k,1003.56,3411
NC06001,1985,"Charlotte-Mecklenburg, N.C.",335690,violent_per_100k,1362.865,4575
ILCPD00,1985,Chicago,2998841,violent_per_100k,2001.14,60011
OHCIP00,1985,Cincinnati,370198,violent_per_100k,884.662,3275
OHCLP00,1985,Cleveland,546126,violent_per_100k,1204.85,6580
OHCOP00,1985,"Columbus, Ohio",565682,violent_per_100k,776.408,4392
TXDPD00,1985,Dallas,997467,violent_per_100k,1440.048,14364
CODPD00,1985,Denver,513048,violent_per_100k,828.772,4252
MI82349,1985,Detroit,1090581,violent_per_100k,2375.248,25904
TX07102,1985,"El Paso, Texas",474870,violent_per_100k,771.158,3662
TX22012,1985,"Fort Worth, Texas",424449,violent_per_100k,1496.528,6352
CA01005,1985,"Fresno, Calif.",275125,violent_per_100k,839.982,2311
HI00200,1985,Honolulu,817083,violent_per_100k,220.418,1801
TXHPD00,1985,Houston,1746375,violent_per_100k,942.581,16461
INIPD00,1985,Indianapolis,471656,violent_per_100k,979.951,4622
FL01602,1985,"Jacksonville, Fla.",601007,violent_per_100k,1214.795,7301
MOKPD00,1985,"Kansas City, Mo.",444942,violent_per_100k,1800.684,8012
NV00201,1985,Las Vegas,456749,violent_per_100k,793.434,3624
CA01941,1985,"Long Beach, Calif.",389728,violent_per_100k,1060.74,4134
CA01942,1985,Los Angeles,3186459,violent_per_100k,1658.016,52832
TNMPD00,1985,"Memphis, Tenn.",654626,violent_per_100k,1487.567,9738
AZ00717,1985,"Mesa, Ariz.",202450,violent_per_100k,553.717,1121
FL01306,1985,Miami,385892,violent_per_100k,2898.739,11186
WIMPD00,1985,Milwaukee,621931,violent_per_100k,652.162,4056
MN02711,1985,Minneapolis,361021,violent_per_100k,1422.355,5135
TN01901,1985,"Nashville, Tenn.",481286,violent_per_100k,701.454,3376
LANPD00,1985,New Orleans,561364,violent_per_100k,1464.647,8222
NY03030,1985,New York City,7183984,violent_per_100k,1881.296,135152
NJNPD00,1985,"Newark, N.J.",316356,violent_per_100k,3077.546,9736
CA00109,1985,"Oakland, Calif.",362095,violent_per_100k,1851.172,6703
OK05506,1985,Oklahoma City,443575,violent_per_100k,975.709,4328
NB02802,1985,"Omaha, Neb.",362883,violent_per_100k,688.376,2498
FL04804,1985,"Orlando, Fla.",142025,violent_per_100k,2063.721,2931
PAPEP00,1985,Philadelphia,1640102,violent_per_100k,988.292,16209
AZ00723,1985,Phoenix,890746,violent_per_100k,844.348,7521
PAPPD00,1985,Pittsburgh,400969,violent_per_100k,1085.62,4353
OR02602,1985,"Portland, Ore.",367571,violent_per_100k,2348.934,8634
NC09201,1985,"Raleigh, N.C.",171814,violent_per_100k,602.396,1035
CA03404,1985,"Sacramento, Calif.",312944,violent_per_100k,1176.249,3681
UT01803,1985,Salt Lake City,164216,violent_per_100k,659.497,1083
TXSPD00,1985,San Antonio,862878,violent_per_100k,625.001,5393
CA03711,1985,San Diego,988284,violent_per_100k,632.409,6250
CA03801,1985,San Francisco,733456,violent_per_100k,1295.511,9502
CA04313,1985,San Jose,706062,violent_per_100k,491.458,3470
WASPD00,1985,Seattle,495190,violent_per_100k,1317.272,6523
MOSPD00,1985,"St. Louis, Mo.",431109,violent_per_100k,2004.597,8642
FL02902,1985,"Tampa, Fla.",285280,violent_per_100k,2402.902,6855
AZ01003,1985,"Tucson, Ariz.",381473,violent_per_100k,973.332,3713
OK07205,1985,"Tulsa, Okla.",374875,violent_per_100k,774.125,2902
VA12800,1985,"Virginia Beach, Va.",312584,violent_per_100k,175.953,550
DCMPD00,1985,"Washington, D.C.",626e3,violent_per_100k,1624.76,10171
KS08703,1985,"Wichita, Kan.",284915,violent_per_100k,586.842,1672
NM00101,1986,"Albuquerque, N.M.",364196,violent_per_100k,1178.486,4292
TX22001,1986,"Arlington, Texas",223106,violent_per_100k,649.915,1450
GAAPD00,1986,Atlanta,445617,violent_per_100k,2953.658,13162
CO00101,1986,"Aurora, Colo.",200189,violent_per_100k,1432.646,2868
TX22701,1986,"Austin, Texas",414220,violent_per_100k,643.861,2667
MDBPD00,1986,Baltimore,783542,violent_per_100k,1943.61,15229
MA01301,1986,Boston,574107,violent_per_100k,2159.005,12395
NY01401,1986,"Buffalo, N.Y.",339685,violent_per_100k,1105.436,3755
NC06001,1986,"Charlotte-Mecklenburg, N.C.",339767,violent_per_100k,1614.93,5487
ILCPD00,1986,Chicago,3003105,violent_per_100k,2294.592,68909
OHCIP00,1986,Cincinnati,370482,violent_per_100k,901.528,3340
OHCLP00,1986,Cleveland,546544,violent_per_100k,1301.817,7115
OHCOP00,1986,"Columbus, Ohio",566115,violent_per_100k,909.356,5148
TXDPD00,1986,Dallas,1016488,violent_per_100k,1896.235,19275
CODPD00,1986,Denver,518625,violent_per_100k,896.602,4650
MI82349,1986,Detroit,1096947,violent_per_100k,2486.629,27277
TX07102,1986,"El Paso, Texas",483925,violent_per_100k,978.251,4734
TX22012,1986,"Fort Worth, Texas",432542,violent_per_100k,1819.476,7870
CA01005,1986,"Fresno, Calif.",281554,violent_per_100k,1216.818,3426
HI00200,1986,Honolulu,823306,violent_per_100k,252.154,2076
TXHPD00,1986,Houston,1779677,violent_per_100k,1156.165,20576
INIPD00,1986,Indianapolis,470591,violent_per_100k,915.232,4307
FL01602,1986,"Jacksonville, Fla.",616668,violent_per_100k,1297.781,8003
MOKPD00,1986,"Kansas City, Mo.",448237,violent_per_100k,2158.01,9673
NV00201,1986,Las Vegas,463158,violent_per_100k,852.193,3947
CA01941,1986,"Long Beach, Calif.",398983,violent_per_100k,1212.834,4839
CA01942,1986,Los Angeles,3260856,violent_per_100k,2035.6,66378
TNMPD00,1986,"Memphis, Tenn.",660255,violent_per_100k,1586.811,10477
AZ00717,1986,"Mesa, Ariz.",210702,violent_per_100k,573.322,1208
FL01306,1986,Miami,396374,violent_per_100k,2945.703,11676
WIMPD00,1986,Milwaukee,623278,violent_per_100k,984.312,6135
