ORI,year,City,total_pop,crime_type_rate,incidents_per_100k_population,incidents_for_total_population
NM00101,1980,"Albuquerque, N.M.",328837,violent_per_100k,854.527,2810
TX22001,1980,"Arlington, Texas",161192,violent_per_100k,500.025,806
GAAPD00,1980,Atlanta,422474,violent_per_100k,2621.463,11075
CO00101,1980,"Aurora, Colo.",158249,violent_per_100k,807.588,1278
TX22701,1980,"Austin, Texas",343425,violent_per_100k,501.711,1723
MDBPD00,1980,Baltimore,784554,violent_per_100k,2112.155,16571
MA01301,1980,Boston,562582,violent_per_100k,2217.988,12478
NY01401,1980,"Buffalo, N.Y.",357384,violent_per_100k,1072.516,3833
NC06001,1980,"Charlotte-Mecklenburg, N.C.",310794,violent_per_100k,887.726,2759
ILCPD00,1980,Chicago,2986419,violent_per_100k,959.611,28658
OHCIP00,1980,Cincinnati,383114,violent_per_100k,1025.804,3930
OHCLP00,1980,Cleveland,572657,violent_per_100k,2002.246,11466
OHCOP00,1980,"Columbus, Ohio",562416,violent_per_100k,912.136,5130
TXDPD00,1980,Dallas,900104,violent_per_100k,1408.837,12681
CODPD00,1980,Denver,489318,violent_per_100k,1128.101,5520
MI82349,1980,Detroit,1197325,violent_per_100k,1945.002,23288
TX07102,1980,"El Paso, Texas",425122,violent_per_100k,661.222,2811
TX22012,1980,"Fort Worth, Texas",382679,violent_per_100k,1226.354,4693
CA01005,1980,"Fresno, Calif.",215396,violent_per_100k,1099.835,2369
HI00200,1980,Honolulu,762020,violent_per_100k,322.301,2456
TXHPD00,1980,Houston,1557575,violent_per_100k,866.668,13499
INIPD00,1980,Indianapolis,698753,violent_per_100k,637.278,4453
FL01602,1980,"Jacksonville, Fla.",542795,violent_per_100k,893.155,4848
MOKPD00,1980,"Kansas City, Mo.",446865,violent_per_100k,1569.378,7013
NV00201,1980,Las Vegas,385396,violent_per_100k,1147.132,4421
CA01941,1980,"Long Beach, Calif.",356906,violent_per_100k,1298.381,4634
CA01942,1980,Los Angeles,2952511,violent_per_100k,1742.483,51447
TNMPD00,1980,"Memphis, Tenn.",644957,violent_per_100k,1069.529,6898
AZ00717,1980,"Mesa, Ariz.",149662,violent_per_100k,542.556,812
FL01306,1980,Miami,335718,violent_per_100k,3417.749,11474
WIMPD00,1980,Milwaukee,633845,violent_per_100k,522.21,3310
MN02711,1980,Minneapolis,370163,violent_per_100k,1058.182,3917
TN01901,1980,"Nashville, Tenn.",452025,violent_per_100k,803.938,3634
LANPD00,1980,New Orleans,557761,violent_per_100k,1465.144,8172
NY03030,1980,New York City,7035348,violent_per_100k,2125.68,149549
NJNPD00,1980,"Newark, N.J.",330104,violent_per_100k,3414.076,11270
CA00109,1980,"Oakland, Calif.",338721,violent_per_100k,2224.84,7536
OK05506,1980,Oklahoma City,401577,violent_per_100k,929.834,3734
NB02802,1980,"Omaha, Neb.",312919,violent_per_100k,633.71,1983
FL04804,1980,"Orlando, Fla.",127811,violent_per_100k,1838.652,2350
PAPEP00,1980,Philadelphia,1681175,violent_per_100k,1028.983,17299
AZ00723,1980,Phoenix,772884,violent_per_100k,908.286,7020
PAPPD00,1980,Pittsburgh,424205,violent_per_100k,1206.964,5120
OR02602,1980,"Portland, Ore.",364419,violent_per_100k,1360.247,4957
NC09201,1980,"Raleigh, N.C.",148429,violent_per_100k,528.199,784
CA03404,1980,"Sacramento, Calif.",274547,violent_per_100k,1173.205,3221
UT01803,1980,Salt Lake City,162985,violent_per_100k,694.542,1132
TXSPD00,1980,San Antonio,788049,violent_per_100k,541.21,4265
CA03711,1980,San Diego,874826,violent_per_100k,707.455,6189
CA03801,1980,San Francisco,674150,violent_per_100k,1885.337,12710
CA04313,1980,San Jose,628106,violent_per_100k,603.083,3788
WASPD00,1980,Seattle,491897,violent_per_100k,1057.335,5201
MOSPD00,1980,"St. Louis, Mo.",450790,violent_per_100k,2436.389,10983
FL02902,1980,"Tampa, Fla.",268709,violent_per_100k,1893.87,5089
AZ01003,1980,"Tucson, Ariz.",331506,violent_per_100k,779.473,2584
OK07205,1980,"Tulsa, Okla.",355766,violent_per_100k,763.142,2715
VA12800,1980,"Virginia Beach, Va.",260680,violent_per_100k,203.314,530
DCMPD00,1980,"Washington, D.C.",635233,violent_per_100k,2010.601,12772
KS08703,1980,"Wichita, Kan.",279352,violent_per_100k,652.582,1823
NM00101,1981,"Albuquerque, N.M.",336840,violent_per_100k,886.177,2985
TX22001,1981,"Arlington, Texas",167848,violent_per_100k,416.448,699
GAAPD00,1981,Atlanta,435626,violent_per_100k,2435.116,10608
CO00101,1981,"Aurora, Colo.",162900,violent_per_100k,882.136,1437
TX22701,1981,"Austin, Texas",357607,violent_per_100k,432.039,1545
MDBPD00,1981,Baltimore,797429,violent_per_100k,2224.273,17737
MA01301,1981,Boston,566679,violent_per_100k,2483.064,14071
NY01401,1981,"Buffalo, N.Y.",359167,violent_per_100k,930.208,3341
NC06001,1981,"Charlotte-Mecklenburg, N.C.",316503,violent_per_100k,1000.306,3166
ILCPD00,1981,Chicago,3012703,violent_per_100k,850.034,25609
OHCIP00,1981,Cincinnati,383441,violent_per_100k,1015.019,3892
OHCLP00,1981,Cleveland,573145,violent_per_100k,2168.561,12429
OHCOP00,1981,"Columbus, Ohio",562896,violent_per_100k,934.986,5263
TXDPD00,1981,Dallas,937273,violent_per_100k,1360.223,12749
CODPD00,1981,Denver,503695,violent_per_100k,1009.54,5085
MI82349,1981,Detroit,1193805,violent_per_100k,1941.356,23176
TX07102,1981,"El Paso, Texas",442677,violent_per_100k,792.903,3510
TX22012,1981,"Fort Worth, Texas",398482,violent_per_100k,1241.21,4946
CA01005,1981,"Fresno, Calif.",221129,violent_per_100k,975.901,2158
HI00200,1981,Honolulu,773331,violent_per_100k,254.096,1965
TXHPD00,1981,Houston,1621897,violent_per_100k,633.456,10274
INIPD00,1981,Indianapolis,461820,violent_per_100k,982.85,4539
FL01602,1981,"Jacksonville, Fla.",575157,violent_per_100k,979.559,5634
MOKPD00,1981,"Kansas City, Mo.",450211,violent_per_100k,1713.419,7714
NV00201,1981,Las Vegas,406915,violent_per_100k,1142.253,4648
CA01941,1981,"Long Beach, Calif.",366405,violent_per_100k,1249.71,4579
CA01942,1981,Los Angeles,3031090,violent_per_100k,1742.541,52818
TNMPD00,1981,"Memphis, Tenn.",654096,violent_per_100k,1078.741,7056
AZ00717,1981,"Mesa, Ariz.",153941,violent_per_100k,481.353,741
FL01306,1981,Miami,356734,violent_per_100k,3142.678,11211
WIMPD00,1981,Milwaukee,641715,violent_per_100k,533.57,3424
MN02711,1981,Minneapolis,372784,violent_per_100k,1041.622,3883
TN01901,1981,"Nashville, Tenn.",458430,violent_per_100k,673.385,3087
LANPD00,1981,New Orleans,571771,violent_per_100k,1420.324,8121
NY03030,1981,New York City,7070429,violent_per_100k,2219.752,156946
NJNPD00,1981,"Newark, N.J.",332746,violent_per_100k,3702.524,12320
CA00109,1981,"Oakland, Calif.",347736,violent_per_100k,2023.374,7036
OK05506,1981,Oklahoma City,414523,violent_per_100k,995.843,4128
